SPLIT_ORDERS,FP_REDEMPTION,LAST_UPDATED,RELEASED_BY,BARCODE,CONF_NUM,BILL_ADDRESS,BILL_CITY,BILL_ZIP,BILL_STATE,BILL_LAST,BILL_FIRST,MAIL_FEE,T_FEE,L_FEE,DISCOUNT,TAX,DONATION,FIRST_NAME,LAST_NAME,EMAIL,PHONE,COMPANY,ADDRESS,CITY,STATE,ZIP,ACCOUNT_NUM,ACCOUNT_NAME,PRICE,TOTAL,GAME_DATE,TRANS_DATE,OPPONENT,EVENT_NAME,HOME_TEAM,section,TICKET_TYPE,PACKAGE,PROMO,SCANNED
,,,,BC8664433,CNF-986365,,,,,,,,,,$0.00,$0.00,,Aaron,Xu,aaron.xu@example.com,555-0121,,409 Main St,Sheboygan,WI,53081,ACC43466,Aaron Xu,$30.38,$32.81,2024-09-07,2024-08-31,River Cats,Sport A Game,Team A,VIP-L,Comp,Full Season,Bobblehead,N
,,,,BC8481188,CNF-266889,,,,,,,,,,$0.00,$0.00,,Grace,Monroe,grace.monroe@example.net,555-0110,,861 Main St,Janesville,WI,53545,ACC90301,Grace Monroe,$49.85,$53.84,2024-08-17,2024-07-20,River Cats,Sport A Game,Team A,VIP-R,Comp,Weekend Pack,Bobblehead,Y
,,,,BC3530518,CNF-342495,,,,,,,,,,$0.00,$0.00,,Grace,Monroe,grace.monroe@example.net,555-0110,,492 Main St,Janesville,WI,53545,ACC90301,Grace Monroe,$49.16,$53.09,2024-07-11,2024-06-18,River Cats,Sport A Game,Team A,103,Season Pass,Full Season,,N
,,,,BC1043037,CNF-396578,,,,,,,,,,$0.00,$0.00,,Zoe,Upton,z.upton@example.com,555-0118,,843 Main St,Milwaukke,WI,53202,ACC94896,Zoe Upton,$49.53,$53.49,2024-07-28,2024-07-18,Lakeside Wolves,Sport A Game,Team A,BOX-B,Promo,,,Y
,,,,BC3024269,CNF-856321,,,,,,,,,,$0.00,$0.00,,Nina,Quinn,nquinn@example.com,555-0114,,297 Main St,Appleton,WI,54911,ACC97026,Nina Quinn,$19.50,$21.06,2024-06-27,2024-06-16,Crestwood Bulls,Sport A Game,Team A,102,Promo,,Family Day,Y
,,,,BC7847048,CNF-393328,,,,,,,,,,$0.00,$0.00,,Cole,Zimmer,c.zimmer@example.com,555-0123,,133 Main St,Stevens Point,WI,54481,ACC95841,Cole Zimmer,$12.67,$13.68,2024-06-10,2024-05-18,Summit Eagles,Sport A Game,Team A,GA,Season Pass,,,Y
,,,,BC5382463,CNF-287241,,,,,,,,,,$0.00,$0.00,,Mia,Kellner,mia.kellner@example.com,555-0108,,694 Main St,Racine,WI,53402,ACC35313,Mia Kellner,$12.75,$13.77,2024-07-28,2024-07-19,Lakeside Wolves,Sport A Game,Team A,101,Single Game,,,Y
,,,,BC1727544,CNF-862569,,,,,,,,,,$0.00,$0.00,,Diana,Abbott,d.abbott@example.net,555-0124,,902 Main St,Superior,WI,54880,ACC65176,Diana Abbott,$49.44,$53.40,2024-05-29,2024-04-29,River Cats,Sport A Game,Team A,BOX-A,Group,,Opening Night,Y
,,,,BC7948850,CNF-386436,,,,,,,,,,$0.00,$0.00,,Hector,Dean,hdean@example.com,555-0127,,320 Main St,Manitowoc,WI,54220,ACC84395,Hector Dean,$45.21,$48.83,2024-06-26,2024-06-01,Coastal Surge,Sport A Game,Team A,BOX-A,Single Game,Weekend Pack,,Y
,,,,BC5953150,CNF-123005,,,,,,,,,,$0.00,$0.00,,Aaron,Xu,aaron.xu@example.com,555-0121,,949 Main St,Sheboygan,WI,53081,ACC43466,Aaron Xu,$25.15,$27.16,2024-07-26,2024-07-04,Valley Hawks,Sport A Game,Team A,VIP-L,Group,Full Season,Opening Night,N
,,,,BC6455706,CNF-499407,,,,,,,,,,$0.00,$0.00,,Diana,Abbott,d.abbott@example.net,555-0124,,711 Main St,Superior,WI,54880,ACC65176,Diana Abbott,$11.25,$12.15,2024-08-17,2024-07-31,River Cats,Sport A Game,Team A,105,Comp,,,Y
,,,,BC7361002,CNF-810219,,,,,,,,,,$0.00,$0.00,,Omar,Liston,o.liston@example.com,555-0109,Liston Media,866 Main St,Kenosha,WI,53140,ACC82667,Omar Liston,$14.38,$15.53,2024-06-26,2024-05-28,Coastal Surge,Sport A Game,Team A,103,Promo,,,N
,,,,BC3916107,CNF-678805,,,,,,,,,,$0.00,$0.00,,Carlos,Rivera,carlos.r@example.com,555-0115,Rivera Foods,176 Main St,Green Bay,WI,54301,ACC96563,Carlos Rivera,$11.31,$12.21,2024-07-10,2024-07-04,Iron City FC,Sport A Game,Team A,101,Comp,,,Y
,,,,BC4262081,CNF-853240,,,,,,,,,,$0.00,$0.00,,Omar,Liston,o.liston@example.com,555-0109,Liston Media,813 Main St,Kenosha,WI,53140,ACC82667,Omar Liston,$44.83,$48.42,2024-06-10,2024-05-28,Summit Eagles,Sport A Game,Team A,VIP-R,Comp,Half Season,Family Day,Y
,,,,BC5446344,CNF-455007,,,,,,,,,,$0.00,$0.00,,Ben,Vargas,bvargas@example.com,555-0119,Vargas Auto,738 Main St,Eau Claire,WI,54701,ACC81228,Ben Vargas,$14.15,$15.28,2024-05-08,2024-04-15,Valley Hawks,Sport A Game,Team A,VIP-L,Single Game,Weekend Pack,,Y
,,,,BC5014745,CNF-844261,,,,,,,,,,$0.00,$0.00,,Drew,Turner,drew.turner@example.net,555-0117,,262 Main St,Madson,WI,,ACC57419,Drew Turner,$10.95,$11.83,2024-05-25,2024-05-15,Northern Stars,Sport A Game,Team A,BOX-A,Single Game,,,Y
,,,,BC2166941,CNF-148050,,,,,,,,,,$0.00,$0.00,,Alice,Barton,alice.barton@example.com,555-0101,Barton Design,777 Main St,Springfield,WI,53711,ACC92397,Alice Barton,$25.15,$27.16,2024-07-10,2024-07-02,Iron City FC,Sport A Game,Team A,105,Single Game,Half Season,Fireworks,N
,,,,BC6059717,CNF-991597,,,,,,,,,,$0.00,$0.00,,Sofia,Okafor,sofia.okafor@example.com,555-0112,,800 Main St,Fond du Lac,WI,54935,ACC15276,Sofia Okafor,$17.20,$18.58,2024-05-27,2024-05-07,Valley Hawks,Sport A Game,Team A,102,Promo,Full Season,,N
,,,,BC5159166,CNF-335612,,,,,,,,,,$0.00,$0.00,,Marcus,Chen,m.chen@example.net,555-0102,,165 Main St,Riverside,WI,53713,ACC10074,Marcus Chen,$49.90,$53.89,2024-05-08,2024-04-27,Valley Hawks,Sport A Game,Team A,101,Promo,,Bobblehead,Y
,,,,BC7319630,CNF-774751,,,,,,,,,,$0.00,$0.00,,Kira,Grant,kgrant@example.org,555-0130,Grant Ventures,910 Main St,Portage,WI,53901,ACC84928,Kira Grant,$11.62,$12.55,2024-07-27,2024-07-16,Lakeside Wolves,Sport A Game,Team A,103,Promo,Full Season,,Y
,,,,BC6183902,CNF-456331,,,,,,,,,,$0.00,$0.00,,Gwen,Cross,g.cross@example.org,555-0126,,459 Main St,Marshfield,WI,54449,ACC55890,Gwen Cross,$9.36,$10.11,2024-09-07,2024-09-06,River Cats,Sport A Game,Team A,103,Season Pass,,,Y
,,,,BC2833230,CNF-360735,,,,,,,,,,$0.00,$0.00,,Marcus,Chen,m.chen@example.net,555-0102,,296 Main St,Riverside,WI,53713,ACC10074,Marcus Chen,$30.46,$32.90,2024-06-10,2024-06-03,Summit Eagles,Sport A Game,Team A,BOX-A,Comp,Half Season,,Y
,,,,BC5234550,CNF-438977,,,,,,,,,,$0.00,$0.00,,Hana,Sato,hsato@example.org,555-0116,,218 Main St,Madison,WI,53703,ACC63523,Hana Sato,$44.18,$47.71,2024-06-10,2024-05-16,Summit Eagles,Sport A Game,Team A,VIP-L,Promo,Full Season,,N
,,,,BC6901533,CNF-413118,,,,,,,,,,$0.00,$0.00,,Grace,Monroe,grace.monroe@example.net,555-0110,,871 Main St,Janesville,WI,53545,ACC90301,Grace Monroe,$44.01,$47.53,2024-09-07,2024-08-25,River Cats,Sport A Game,Team A,VIP-L,Promo,,Bobblehead,N
,,,,BC3361510,CNF-890785,,,,,,,,,,$0.00,$0.00,,Bella,Young,byoung@example.org,555-0122,,331 Main St,Wausau,WI,54401,ACC25095,Bella Young,$45.93,$49.60,2024-05-24,2024-04-26,Summit Eagles,Sport A Game,Team A,VIP-L,Promo,Weekend Pack,Fireworks,N
,,,,BC4558545,CNF-772875,,,,,,,,,,$0.00,$0.00,,Cole,Zimmer,c.zimmer@example.com,555-0123,,754 Main St,Stevens Point,WI,54481,ACC95841,Cole Zimmer,$44.18,$47.71,2024-08-17,2024-07-28,River Cats,Sport A Game,Team A,101,Single Game,Weekend Pack,Bobblehead,Y
,,,,BC2262382,CNF-824586,,,,,,,,,,$0.00,$0.00,,Dani,Ingram,dani.ingram@example.com,555-0106,Ingram & Co,252 Main St,Oak Creek,WI,53154,ACC82512,Dani Ingram,$49.02,$52.94,2024-05-25,2024-05-07,Northern Stars,Sport A Game,Team A,101,Group,,Family Day,N
,,,,BC7120868,CNF-270555,,,,,,,,,,$0.00,$0.00,,Alice,Barton,alice.barton@example.com,555-0101,Barton Design,479 Main St,Springfield,WI,53711,ACC92397,Alice Barton,$19.91,$21.50,2024-07-26,2024-07-14,Valley Hawks,Sport A Game,Team A,104,Group,,Fireworks,Y
,,,,BC5449324,CNF-238890,,,,,,,,,,$0.00,$0.00,,Sam,Hooper,shooper@example.org,555-0105,,457 Main St,Brookfield,WI,53005,ACC19602,Sam Hooper,$49.43,$53.38,2024-07-26,2024-06-27,Valley Hawks,Sport A Game,Team A,102,Season Pass,Weekend Pack,,Y
,,,,BC5743227,CNF-837135,,,,,,,,,,$0.00,$0.00,,Carlos,Rivera,carlos.r@example.com,555-0115,Rivera Foods,980 Main St,Green Bay,WI,54301,ACC96563,Carlos Rivera,$9.46,$10.22,2024-05-27,2024-05-12,Valley Hawks,Sport A Game,Team A,102,Season Pass,Weekend Pack,Bobblehead,N
,,,,BC8231838,CNF-471507,,,,,,,,,,$0.00,$0.00,,Marcus,Chen,m.chen@example.net,555-0102,,533 Main St,Riverside,WI,53713,ACC10074,Marcus Chen,$11.19,$12.09,2024-06-20,2024-06-06,Summit Eagles,Sport A Game,Team A,VIP-R,Single Game,,Fireworks,Y
,,,,BC5299055,CNF-904150,,,,,,,,,,$0.00,$0.00,,Sofia,Okafor,sofia.okafor@example.com,555-0112,,477 Main St,Fond du Lac,WI,54935,ACC15276,Sofia Okafor,$17.93,$19.36,2024-07-10,2024-07-04,Iron City FC,Sport A Game,Team A,BOX-B,Promo,,Fireworks,Y
,,,,BC8979730,CNF-625721,,,,,,,,,,$0.00,$0.00,,Kira,Grant,kgrant@example.org,555-0130,Grant Ventures,254 Main St,Portage,WI,53901,ACC84928,Kira Grant,$17.64,$19.05,2024-07-28,2024-07-26,Lakeside Wolves,Sport A Game,Team A,VIP-R,Single Game,Weekend Pack,Fireworks,Y
,,,,BC9164342,CNF-652530,,,,,,,,,,$0.00,$0.00,,Hector,Dean,hdean@example.com,555-0127,,783 Main St,Manitowoc,WI,54220,ACC84395,Hector Dean,$20.36,$21.99,2024-07-11,2024-07-01,River Cats,Sport A Game,Team A,101,Season Pass,,Opening Night,Y
,,,,BC9580255,CNF-221263,,,,,,,,,,$0.00,$0.00,,Mia,Kellner,mia.kellner@example.com,555-0108,,494 Main St,Racine,WI,53402,ACC35313,Mia Kellner,$24.87,$26.86,2024-05-29,2024-04-30,River Cats,Sport A Game,Team A,BOX-B,Season Pass,Weekend Pack,Opening Night,N
,,,,BC7795314,CNF-121869,,,,,,,,,,$0.00,$0.00,,Iris,Ellis,i.ellis@example.net,555-0128,,432 Main St,Two Rivers,WI,54241,ACC43491,Iris Ellis,$29.58,$31.95,2024-08-17,2024-08-11,River Cats,Sport A Game,Team A,BOX-B,Comp,,,Y
,,,,BC1899411,CNF-259097,,,,,,,,,,$0.00,$0.00,,Nina,Quinn,nquinn@example.com,555-0114,,252 Main St,Appleton,WI,54911,ACC97026,Nina Quinn,$12.15,$13.12,2024-07-26,2024-06-30,Valley Hawks,Sport A Game,Team A,BOX-B,Group,Full Season,Bobblehead,Y
,,,,BC8099076,CNF-322086,,,,,,,,,,$0.00,$0.00,,Marcus,Chen,m.chen@example.net,555-0102,,652 Main St,Riverside,WI,53713,ACC10074,Marcus Chen,$20.06,$21.66,2024-08-17,2024-07-23,River Cats,Sport A Game,Team A,104,Group,,,N
,,,,BC7251976,CNF-951201,,,,,,,,,,$0.00,$0.00,,Finn,Bloom,fbloom@example.com,555-0125,Bloom Realty,233 Main St,Rhinelander,WI,54501,ACC66606,Finn Bloom,$12.49,$13.49,2024-06-27,2024-06-09,Crestwood Bulls,Sport A Game,Team A,101,Promo,,,Y
,,,,BC3073474,CNF-576877,,,,,,,,,,$0.00,$0.00,,Bella,Young,byoung@example.org,555-0122,,477 Main St,Wausau,WI,54401,ACC25095,Bella Young,$9.53,$10.29,2024-06-26,2024-06-04,Coastal Surge,Sport A Game,Team A,105,Promo,,,Y
,,,,BC9164991,CNF-262316,,,,,,,,,,$0.00,$0.00,,Priya,Delacroix,priya.d@example.com,555-0103,Lakeview LLC,294 Main St,Lakeview,WI,53705,ACC82132,Priya Delacroix,$50.32,$54.35,2024-06-27,2024-06-17,Crestwood Bulls,Sport A Game,Team A,104,Single Game,,Opening Night,Y
,,,,BC3653446,CNF-575763,,,,,,,,,,$0.00,$0.00,,Alice,Barton,alice.barton@example.com,555-0101,Barton Design,103 Main St,Springfield,WI,53711,ACC92397,Alice Barton,$11.59,$12.52,2024-08-17,2024-07-24,River Cats,Sport A Game,Team A,105,Promo,Half Season,Fireworks,Y
,,,,BC4305700,CNF-481913,,,,,,,,,,$0.00,$0.00,,Mia,Kellner,mia.kellner@example.com,555-0108,,541 Main St,Racine,WI,53402,ACC35313,Mia Kellner,$10.04,$10.84,2024-07-11,2024-07-08,River Cats,Sport A Game,Team A,GA,Promo,Weekend Pack,Fireworks,Y
,,,,BC7783308,CNF-859359,,,,,,,,,,$0.00,$0.00,,Tyler,Nash,tnash@example.org,555-0111,,269 Main St,Beloit,WI,53511,ACC13804,Tyler Nash,$29.67,$32.04,2024-06-20,2024-05-24,Summit Eagles,Sport A Game,Team A,VIP-R,Season Pass,,Opening Night,N
,,,,BC8852574,CNF-654816,,,,,,,,,,$0.00,$0.00,,Alice,Barton,alice.barton@example.com,555-0101,Barton Design,357 Main St,Springfield,WI,53711,ACC92397,Alice Barton,$11.77,$12.71,2024-06-20,2024-06-02,Summit Eagles,Sport A Game,Team A,101,Single Game,,,Y
,,,,BC6098175,CNF-400850,,,,,,,,,,$0.00,$0.00,,Omar,Liston,o.liston@example.com,555-0109,Liston Media,315 Main St,Kenosha,WI,53140,ACC82667,Omar Liston,$50.67,$54.72,2024-06-09,2024-05-26,Iron City FC,Sport A Game,Team A,BOX-B,Promo,,,N
,,,,BC6503032,CNF-739717,,,,,,,,,,$0.00,$0.00,,Bella,Young,byoung@example.org,555-0122,,326 Main St,Wausau,WI,54401,ACC25095,Bella Young,$17.94,$19.38,2024-07-11,2024-06-20,River Cats,Sport A Game,Team A,102,Comp,,,N
,,,,BC3477824,CNF-347745,,,,,,,,,,$0.00,$0.00,,Jake,Ford,jford@example.com,555-0129,,205 Main St,Baraboo,WI,53913,ACC78676,Jake Ford,$24.70,$26.68,2024-09-07,2024-09-02,River Cats,Sport A Game,Team A,105,Season Pass,Half Season,Family Day,Y
,,,,BC1771600,CNF-440131,,,,,,,,,,$0.00,$0.00,,Chloe,Walsh,c.walsh@example.net,555-0120,,915 Main St,La Crosse,WI,54601,ACC31805,Chloe Walsh,$20.81,$22.47,2024-05-27,2024-05-25,Valley Hawks,Sport A Game,Team A,105,Group,Weekend Pack,,Y
,,,,BC5013879,CNF-387936,,,,,,,,,,$0.00,$0.00,,Grace,Monroe,grace.monroe@example.net,555-0110,,550 Main St,Janesville,WI,53545,ACC90301,Grace Monroe,$49.97,$53.97,2024-07-26,2024-07-23,Valley Hawks,Sport A Game,Team A,105,Season Pass,Weekend Pack,,Y
,,,,BC6292423,CNF-520651,,,,,,,,,,$0.00,$0.00,,Alice,Barton,alice.barton@example.com,555-0101,Barton Design,374 Main St,Springfield,WI,53711,ACC92397,Alice Barton,$18.64,$20.13,2024-05-25,2024-05-22,Northern Stars,Sport A Game,Team A,104,Promo,,,Y
,,,,BC1514340,CNF-196214,,,,,,,,,,$0.00,$0.00,,Gwen,Cross,g.cross@example.org,555-0126,,864 Main St,Marshfield,WI,54449,ACC55890,Gwen Cross,$15.48,$16.72,2024-05-27,2024-05-10,Valley Hawks,Sport A Game,Team A,104,Comp,,,Y
,,,,BC5334434,CNF-456871,,,,,,,,,,$0.00,$0.00,,Ethan,Park,e.park@example.net,555-0113,Park Consulting,386 Main St,Oshkosh,WI,54901,ACC33834,Ethan Park,$44.42,$47.97,2024-05-24,2024-04-25,Summit Eagles,Sport A Game,Team A,BOX-B,Group,,Opening Night,Y
,,,,BC1709714,CNF-557409,,,,,,,,,,$0.00,$0.00,,Iris,Ellis,i.ellis@example.net,555-0128,,119 Main St,Two Rivers,WI,54241,ACC43491,Iris Ellis,$11.79,$12.73,2024-06-25,2024-06-10,Iron City FC,Sport A Game,Team A,102,Group,,,N
,,,,BC5641923,CNF-146228,,,,,,,,,,$0.00,$0.00,,Dani,Ingram,dani.ingram@example.com,555-0106,Ingram & Co,103 Main St,Oak Creek,WI,53154,ACC82512,Dani Ingram,$12.27,$13.25,2024-05-27,2024-05-16,Valley Hawks,Sport A Game,Team A,103,Group,Half Season,,N
,,,,BC6243691,CNF-547494,,,,,,,,,,$0.00,$0.00,,Diana,Abbott,d.abbott@example.net,555-0124,,420 Main St,Superior,WI,54880,ACC65176,Diana Abbott,$30.46,$32.90,2024-06-27,2024-06-05,Crestwood Bulls,Sport A Game,Team A,105,Group,Half Season,,Y
,,,,BC9753457,CNF-782054,,,,,,,,,,$0.00,$0.00,,Sofia,Okafor,sofia.okafor@example.com,555-0112,,376 Main St,Fond du Lac,WI,54935,ACC15276,Sofia Okafor,$14.87,$16.06,2024-05-25,2024-05-05,Northern Stars,Sport A Game,Team A,BOX-A,Comp,,,Y
,,,,BC4607488,CNF-550961,,,,,,,,,,$0.00,$0.00,,Diana,Abbott,d.abbott@example.net,555-0124,,562 Main St,Superior,WI,54880,ACC65176,Diana Abbott,$12.71,$13.73,2024-05-25,2024-04-26,Northern Stars,Sport A Game,Team A,104,Comp,Weekend Pack,,N
,,,,BC3610197,CNF-265056,,,,,,,,,,$0.00,$0.00,,Hector,Dean,hdean@example.com,555-0127,,872 Main St,Manitowoc,WI,54220,ACC84395,Hector Dean,$12.77,$13.79,2024-06-10,2024-05-21,Summit Eagles,Sport A Game,Team A,101,Single Game,Weekend Pack,,N
,,,,BC7162857,CNF-670913,,,,,,,,,,$0.00,$0.00,,Cole,Zimmer,c.zimmer@example.com,555-0123,,760 Main St,Stevens Point,WI,54481,ACC95841,Cole Zimmer,$24.20,$26.14,2024-06-09,2024-05-28,Iron City FC,Sport A Game,Team A,101,Comp,Weekend Pack,Bobblehead,Y
,,,,BC1602286,CNF-747453,,,,,,,,,,$0.00,$0.00,,Ben,Vargas,bvargas@example.com,555-0119,Vargas Auto,170 Main St,Eau Claire,WI,54701,ACC81228,Ben Vargas,$45.74,$49.40,2024-06-20,2024-06-12,Summit Eagles,Sport A Game,Team A,105,Season Pass,,Fireworks,N
,,,,BC5638893,CNF-859782,,,,,,,,,,$0.00,$0.00,,Nina,Quinn,nquinn@example.com,555-0114,,703 Main St,Appleton,WI,54911,ACC97026,Nina Quinn,$18.48,$19.96,2024-06-26,2024-06-01,Coastal Surge,Sport A Game,Team A,BOX-A,Promo,Weekend Pack,Fireworks,Y
,,,,BC8151684,CNF-819425,,,,,,,,,,$0.00,$0.00,,Diana,Abbott,d.abbott@example.net,555-0124,,210 Main St,Superior,WI,54880,ACC65176,Diana Abbott,$45.69,$49.35,2024-05-08,2024-04-22,Valley Hawks,Sport A Game,Team A,VIP-R,Single Game,Full Season,,Y
,,,,BC1865901,CNF-313446,,,,,,,,,,$0.00,$0.00,,Drew,Turner,drew.turner@example.net,555-0117,,373 Main St,Madson,WI,,ACC57419,Drew Turner,$45.25,$48.87,2024-06-25,2024-06-07,Iron City FC,Sport A Game,Team A,103,Group,,,Y
,,,,BC6662319,CNF-898207,,,,,,,,,,$0.00,$0.00,,Tyler,Nash,tnash@example.org,555-0111,,488 Main St,Beloit,WI,53511,ACC13804,Tyler Nash,$17.91,$19.34,2024-05-24,2024-05-15,Summit Eagles,Sport A Game,Team A,VIP-L,Group,Full Season,,Y
,,,,BC6205543,CNF-882033,,,,,,,,,,$0.00,$0.00,,Jake,Ford,jford@example.com,555-0129,,447 Main St,Baraboo,WI,53913,ACC78676,Jake Ford,$11.79,$12.73,2024-05-27,2024-05-19,Valley Hawks,Sport A Game,Team A,GA,Season Pass,Full Season,Fireworks,Y
,,,,BC4010529,CNF-416950,,,,,,,,,,$0.00,$0.00,,Nina,Quinn,nquinn@example.com,555-0114,,114 Main St,Appleton,WI,54911,ACC97026,Nina Quinn,$19.45,$21.01,2024-05-27,2024-05-04,Valley Hawks,Sport A Game,Team A,BOX-A,Season Pass,Weekend Pack,Opening Night,Y
,,,,BC6676858,CNF-811875,,,,,,,,,,$0.00,$0.00,,Kira,Grant,kgrant@example.org,555-0130,Grant Ventures,712 Main St,Portage,WI,53901,ACC84928,Kira Grant,$29.82,$32.21,2024-07-26,2024-07-24,Valley Hawks,Sport A Game,Team A,GA,Single Game,Weekend Pack,Fireworks,N
,,,,BC8805654,CNF-401603,,,,,,,,,,$0.00,$0.00,,Aaron,Xu,aaron.xu@example.com,555-0121,,793 Main St,Sheboygan,WI,53081,ACC43466,Aaron Xu,$10.80,$11.66,2024-08-17,2024-07-30,River Cats,Sport A Game,Team A,103,Single Game,,,Y
,,,,BC6101803,CNF-833723,,,,,,,,,,$0.00,$0.00,,Carlos,Rivera,carlos.r@example.com,555-0115,Rivera Foods,512 Main St,Green Bay,WI,54301,ACC96563,Carlos Rivera,$44.25,$47.79,2024-07-11,2024-07-02,River Cats,Sport A Game,Team A,BOX-A,Promo,,,Y
,,,,BC2813543,CNF-501124,,,,,,,,,,$0.00,$0.00,,Leo,Jacobs,leojacobs@example.net,555-0107,,993 Main St,Waukesha,WI,53186,ACC15229,Leo Jacobs,$15.57,$16.82,2024-06-10,2024-06-08,Summit Eagles,Sport A Game,Team A,VIP-R,Season Pass,Half Season,,Y
,,,,BC9907391,CNF-460455,,,,,,,,,,$0.00,$0.00,,Nina,Quinn,nquinn@example.com,555-0114,,535 Main St,Appleton,WI,54911,ACC97026,Nina Quinn,$24.95,$26.95,2024-05-29,2024-05-05,River Cats,Sport A Game,Team A,BOX-A,Group,Weekend Pack,,Y
,,,,BC4585314,CNF-636004,,,,,,,,,,$0.00,$0.00,,Omar,Liston,o.liston@example.com,555-0109,Liston Media,584 Main St,Kenosha,WI,53140,ACC82667,Omar Liston,$44.88,$48.47,2024-07-11,2024-06-15,River Cats,Sport A Game,Team A,103,Single Game,Weekend Pack,,Y
,,,,BC6398528,CNF-297816,,,,,,,,,,$0.00,$0.00,,Ben,Vargas,bvargas@example.com,555-0119,Vargas Auto,814 Main St,Eau Claire,WI,54701,ACC81228,Ben Vargas,$29.91,$32.30,2024-07-28,2024-07-20,Lakeside Wolves,Sport A Game,Team A,BOX-B,Comp,Half Season,,Y
,,,,BC1661401,CNF-423939,,,,,,,,,,$0.00,$0.00,,Aaron,Xu,aaron.xu@example.com,555-0121,,907 Main St,Sheboygan,WI,53081,ACC43466,Aaron Xu,$12.81,$13.83,2024-07-28,2024-07-13,Lakeside Wolves,Sport A Game,Team A,101,Promo,Weekend Pack,Family Day,Y
,,,,BC2164686,CNF-910891,,,,,,,,,,$0.00,$0.00,,Mia,Kellner,mia.kellner@example.com,555-0108,,385 Main St,Racine,WI,53402,ACC35313,Mia Kellner,$29.66,$32.03,2024-09-07,2024-08-26,River Cats,Sport A Game,Team A,BOX-A,Comp,,,Y
