SPLIT_ORDERS,FP_REDEMPTION,LAST_UPDATED,RELEASED_BY,BARCODE,CONF_NUM,BILL_ADDRESS,BILL_CITY,BILL_ZIP,BILL_STATE,BILL_LAST,BILL_FIRST,MAIL_FEE,T_FEE,L_FEE,DISCOUNT,TAX,DONATION,FIRST_NAME,LAST_NAME,EMAIL,PHONE,COMPANY,ADDRESS,CITY,STATE,ZIP,ACCOUNT_NUM,ACCOUNT_NAME,PRICE,TOTAL,GAME_DATE,TRANS_DATE,OPPONENT,EVENT_NAME,HOME_TEAM,section,TICKET_TYPE,PACKAGE,PROMO,SCANNED
,,,,BC6357240,CNF-869864,,,,,,,,,,$0.00,$0.00,,Ben,Vargas,bvargas@example.com,555-0119,Vargas Auto,981 Oak Ave,Eau Claire,WI,54701,ACC54589,Ben Vargas,$14.63,$15.80,2024-08-20,2024-08-08,Delta Rays,Sport B Game,Team B,VIP-L,Season Pass,Weekend Pack,Fireworks,Y
,,,,BC5487430,CNF-571435,,,,,,,,,,$0.00,$0.00,,Ben,Vargas,bvargas@example.com,555-0119,Vargas Auto,353 Oak Ave,Eau Claire,WI,54701,ACC54589,Ben Vargas,$17.93,$19.36,2024-08-31,2024-08-26,Delta Rays,Sport B Game,Team B,102,Single Game,Weekend Pack,,N
,,,,BC3679315,CNF-952993,,,,,,,,,,$0.00,$0.00,,Ben,Vargas,bvargas@example.com,555-0119,Vargas Auto,435 Oak Ave,Eau Claire,WI,54701,ACC54589,Ben Vargas,$18.93,$20.44,2024-07-08,2024-06-19,Lakeshore Tide,Sport B Game,Team B,GA,Season Pass,Half Season,,N
,,,,BC9344488,CNF-124302,,,,,,,,,,$0.00,$0.00,,Ben,Vargas,bvargas@example.com,555-0119,Vargas Auto,192 Oak Ave,Eau Claire,WI,54701,ACC54589,Ben Vargas,$45.76,$49.42,2024-06-16,2024-06-03,Northside Comets,Sport B Game,Team B,BOX-A,Comp,Half Season,Bobblehead,Y
,,,,BC8895137,CNF-399628,,,,,,,,,,$0.00,$0.00,,Chloe,Walsh,c.walsh@example.net,555-0120,,649 Oak Ave,La Crosse,WI,54601,ACC46877,Chloe Walsh,$45.20,$48.82,2024-07-01,2024-06-30,Westfield Thunder,Sport B Game,Team B,102,Comp,Half Season,,Y
,,,,BC5841933,CNF-177103,,,,,,,,,,$0.00,$0.00,,Lena,Holt,l.holt@example.com,555-0131,,495 Oak Ave,Watertown,WI,53094,ACC84747,Lena Holt,$49.39,$53.34,2024-08-03,2024-07-17,Northside Comets,Sport B Game,Team B,VIP-R,Promo,Weekend Pack,Fireworks,Y
,,,,BC6688907,CNF-684929,,,,,,,,,,$0.00,$0.00,,Lena,Holt,l.holt@example.com,555-0131,,474 Oak Ave,Watertown,WI,53094,ACC84747,Lena Holt,$11.79,$12.73,2024-07-01,2024-06-26,Westfield Thunder,Sport B Game,Team B,104,Promo,,,Y
,,,,BC6587495,CNF-943019,,,,,,,,,,$0.00,$0.00,,Lena,Holt,l.holt@example.com,555-0131,,585 Oak Ave,Watertown,WI,53094,ACC84747,Lena Holt,$9.08,$9.81,2024-08-20,2024-08-03,Delta Rays,Sport B Game,Team B,VIP-R,Season Pass,,Family Day,Y
,,,,BC6020319,CNF-722565,,,,,,,,,,$0.00,$0.00,,Lena,Holt,l.holt@example.com,555-0131,,444 Oak Ave,Watertown,WI,53094,ACC84747,Lena Holt,$24.33,$26.28,2024-07-08,2024-06-21,Lakeshore Tide,Sport B Game,Team B,BOX-A,Promo,,,N
,,,,BC6161977,CNF-935457,,,,,,,,,,$0.00,$0.00,,Miles,Irving,mirving@example.net,555-0132,,842 Oak Ave,Beaver Dam,WI,53916,ACC53416,Miles Irving,$12.96,$14.00,2024-08-03,2024-08-02,Northside Comets,Sport B Game,Team B,BOX-B,Comp,Weekend Pack,Bobblehead,Y
,,,,BC2843740,CNF-300051,,,,,,,,,,$0.00,$0.00,,Nora,James,nora.james@example.com,555-0133,,119 Oak Ave,Sun Prairie,WI,53590,ACC99224,Nora James,$17.06,$18.42,2024-07-01,2024-06-16,Lakeshore Tide,Sport B Game,Team B,GA,Comp,Half Season,,Y
,,,,BC8912226,CNF-989587,,,,,,,,,,$0.00,$0.00,,Nora,James,nora.james@example.com,555-0133,,853 Oak Ave,Sun Prairie,WI,53590,ACC99224,Nora James,$30.00,$32.40,2024-07-08,2024-07-06,Lakeshore Tide,Sport B Game,Team B,103,Promo,Half Season,,N
,,,,BC3905518,CNF-581992,,,,,,,,,,$0.00,$0.00,,Nora,James,nora.james@example.com,555-0133,,645 Oak Ave,Sun Prairie,WI,53590,ACC99224,Nora James,$49.75,$53.73,2024-08-20,2024-08-09,Delta Rays,Sport B Game,Team B,BOX-A,Group,,,N
,,,,BC5680950,CNF-685196,,,,,,,,,,$0.00,$0.00,,Nora,James,nora.james@example.com,555-0133,,405 Oak Ave,Sun Prairie,WI,53590,ACC99224,Nora James,$18.91,$20.42,2024-06-16,2024-06-08,Northside Comets,Sport B Game,Team B,105,Group,,Bobblehead,N
,,,,BC7370211,CNF-513697,,,,,,,,,,$0.00,$0.00,,Oscar,King,o.king@example.com,555-0134,,938 Oak Ave,Fitchburg,WI,53711,ACC47721,Oscar King,$12.15,$13.12,2024-08-31,2024-08-19,Delta Rays,Sport B Game,Team B,103,Group,Full Season,,Y
,,,,BC5302415,CNF-883641,,,,,,,,,,$0.00,$0.00,,Oscar,King,o.king@example.com,555-0134,,590 Oak Ave,Fitchburg,WI,53711,ACC47721,Oscar King,$25.85,$27.92,2024-08-03,2024-07-27,Northside Comets,Sport B Game,Team B,104,Promo,Weekend Pack,,Y
,,,,BC5014486,CNF-354235,,,,,,,,,,$0.00,$0.00,,Oscar,King,o.king@example.com,555-0134,,151 Oak Ave,Fitchburg,WI,53711,ACC47721,Oscar King,$12.23,$13.21,2024-06-09,2024-05-23,Northside Comets,Sport B Game,Team B,104,Season Pass,Full Season,Fireworks,N
,,,,BC3649811,CNF-526673,,,,,,,,,,$0.00,$0.00,,Penny,Lane,plane@example.org,555-0135,,768 Oak Ave,Middleton,WI,53562,ACC10679,Penny Lane,$50.96,$55.04,2024-08-31,2024-08-15,Delta Rays,Sport B Game,Team B,VIP-R,Season Pass,Weekend Pack,,Y
,,,,BC2500901,CNF-783984,,,,,,,,,,$0.00,$0.00,,Penny,Lane,plane@example.org,555-0135,,687 Oak Ave,Middleton,WI,53562,ACC10679,Penny Lane,$10.82,$11.69,2024-06-16,2024-06-08,Northside Comets,Sport B Game,Team B,BOX-A,Single Game,Half Season,,Y
,,,,BC7660463,CNF-926236,,,,,,,,,,$0.00,$0.00,,Penny,Lane,plane@example.org,555-0135,,607 Oak Ave,Middleton,WI,53562,ACC10679,Penny Lane,$10.99,$11.87,2024-07-01,2024-06-25,Lakeshore Tide,Sport B Game,Team B,105,Single Game,Full Season,,Y
,,,,BC4234838,CNF-948102,,,,,,,,,,$0.00,$0.00,,Quinn,Morris,,555-0136,,215 Oak Ave,Verona,WI,53593,ACC27589,Quinn Morris,$49.94,$53.94,2024-06-09,2024-05-29,Northside Comets,Sport B Game,Team B,103,Comp,,,Y
,,,,BC5949685,CNF-695361,,,,,,,,,,$0.00,$0.00,,Quinn,Morris,,555-0136,,790 Oak Ave,Verona,WI,53593,ACC27589,Quinn Morris,$10.47,$11.31,2024-08-31,2024-08-24,Delta Rays,Sport B Game,Team B,103,Promo,,,N
,,,,BC7724865,CNF-801765,,,,,,,,,,$0.00,$0.00,,Quinn,Morris,,555-0136,,197 Oak Ave,Verona,WI,53593,ACC27589,Quinn Morris,$49.66,$53.63,2024-07-08,2024-07-02,Lakeshore Tide,Sport B Game,Team B,103,Comp,Weekend Pack,Bobblehead,Y
,,,,BC1191859,CNF-374258,,,,,,,,,,$0.00,$0.00,,Rosa,Nguyen,,555-0137,,769 Oak Ave,Stoughton,WI,53589,ACC44995,Rosa Nguyen,$24.60,$26.57,2024-08-20,2024-08-08,Delta Rays,Sport B Game,Team B,104,Single Game,,Fireworks,N
,,,,BC9430894,CNF-837733,,,,,,,,,,$0.00,$0.00,,Rosa,Nguyen,,555-0137,,888 Oak Ave,Stoughton,WI,53589,ACC44995,Rosa Nguyen,$19.32,$20.87,2024-08-21,2024-08-11,Lakeshore Tide,Sport B Game,Team B,102,Group,Weekend Pack,Bobblehead,Y
,,,,BC8633275,CNF-884056,,,,,,,,,,$0.00,$0.00,,Rosa,Nguyen,,555-0137,,720 Oak Ave,Stoughton,WI,53589,ACC44995,Rosa Nguyen,$14.96,$16.16,2024-08-31,2024-08-19,Delta Rays,Sport B Game,Team B,VIP-L,Promo,,Bobblehead,Y
,,,,BC2310346,CNF-691573,,,,,,,,,,$0.00,$0.00,,Silas,Ortega,,555-0138,,214 Oak Ave,Milton,WI,53563,ACC68556,Silas Ortega,$50.41,$54.44,2024-07-08,2024-07-06,Lakeshore Tide,Sport B Game,Team B,BOX-A,Promo,Half Season,Family Day,Y
,,,,BC9201172,CNF-195359,,,,,,,,,,$0.00,$0.00,,Tess,Patel,,555-0139,,622 Oak Ave,Edgerton,WI,53534,ACC99167,Tess Patel,$18.43,$19.90,2024-07-08,2024-06-23,Lakeshore Tide,Sport B Game,Team B,101,Comp,Half Season,,N
,,,,BC6170227,CNF-858414,,,,,,,,,,$0.00,$0.00,,Tess,Patel,,555-0139,,122 Oak Ave,Edgerton,WI,53534,ACC99167,Tess Patel,$10.12,$10.93,2024-08-31,2024-08-18,Delta Rays,Sport B Game,Team B,105,Single Game,,Bobblehead,Y
,,,,BC2069713,CNF-667451,,,,,,,,,,$0.00,$0.00,,Tess,Patel,,555-0139,,161 Oak Ave,Edgerton,WI,53534,ACC99167,Tess Patel,$9.85,$10.64,2024-06-16,2024-06-13,Northside Comets,Sport B Game,Team B,VIP-R,Single Game,Weekend Pack,,Y
,,,,BC7333337,CNF-493892,,,,,,,,,,$0.00,$0.00,,Uri,Reed,,555-0140,,182 Oak Ave,Evansville,WI,53536,ACC60132,Uri Reed,$45.74,$49.40,2024-08-20,2024-08-02,Delta Rays,Sport B Game,Team B,103,Group,Full Season,Family Day,N
,,,,BC4736121,CNF-975373,,,,,,,,,,$0.00,$0.00,,Uri,Reed,,555-0140,,103 Oak Ave,Evansville,WI,53536,ACC60132,Uri Reed,$49.25,$53.19,2024-08-03,2024-08-02,Northside Comets,Sport B Game,Team B,105,Comp,,,N
